x,y,z
7.0327803492546,115.0000095367432,11.3685451447964
5.101053789258,113.80000114440921,6.910414993763
5.1017213612795,113.80000114440921,5.3585764020681
5.4122686386108,113.80000114440921,5.0480268895626
5.1063183695078,113.9000058174133,5.052576586604101
5.4123818874359,113.80000114440921,4.7375775873661
5.1064256578683995,113.9000058174133,4.7418478876352
5.106620490550999,113.9000058174133,4.1203357279301
5.1023036241531,113.80000114440921,3.4956850111485
5.1026437431574,113.80000114440921,1.6322903335094001
